SKU,Parent SKU,File
UR10489PL-X,UR10489PL,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR10489PL_processed.mp4
UR1173-X,UR1173,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR1173_processed.mp4
UR12360-X,UR12360,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR12360_processed.mp4
UR13211PL-X,UR13211PL,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR13211PL_processed.mp4
UR13418-X,UR13418,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR13418_processed.mp4
UR13591-X,UR13591,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR13591_processed.mp4
UR13760-X,UR13760,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR13760_processed.mp4
UR14105-X,UR14105,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR14105_processed.mp4
UR15278-X,UR15278,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR15278_processed.mp4
UR15985-X,UR15985,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR15985_processed.mp4
UR16730NF-X,UR16730NF,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR16730NF_processed.mp4
UR16776-X,UR16776,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR16776_processed.mp4
UR17518-X,UR17518,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR17518_processed.mp4
UR17759-X,UR17759,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR17759_processed.mp4
UR17761-X,UR17761,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR17761_processed.mp4
UR17762-X,UR17762,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR17762_processed.mp4
UR17886-X,UR17886,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR17886_processed.mp4
UR18956F-X,UR18956F,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR18956F_processed.mp4
UR19244-X,UR19244,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR19244_processed.mp4
UR19245-X,UR19245,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR19245_processed.mp4
UR19247-X,UR19247,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR19247_processed.mp4
UR19939-X,UR19939,/Users/annikaimpallomeni/Desktop/ProcessedVideos/UR19939_processed.mp4
